Vegetation,Day,Month,Year,Date,Time,NDVI,CleanedNDVI(>0.15)
HolcusAgrostisSphagnum,17,Feb,1987,17/02/1987,2.127310062,NA,NA
HolcusAgrostis,17,Feb,1987,17/02/1987,2.127310062,NA,NA
FestucaRubra,17,Feb,1987,17/02/1987,2.127310062,NA,NA
Eriophorum,17,Feb,1987,17/02/1987,2.127310062,NA,NA
DryHeath,17,Feb,1987,17/02/1987,2.127310062,NA,NA
Cliff,17,Feb,1987,17/02/1987,2.127310062,NA,NA
AgFesMol,17,Feb,1987,17/02/1987,2.127310062,NA,NA
Eriophorum,21,Mar,1987,21/03/1987,2.214921287,-0.093,NA
HolcusAgrostisSphagnum,21,Mar,1987,21/03/1987,2.214921287,-0.074,NA
HolcusAgrostis,21,Mar,1987,21/03/1987,2.214921287,-0.071,NA
AgFesMol,21,Mar,1987,21/03/1987,2.214921287,-0.069,NA
WetHeath,21,Mar,1987,21/03/1987,2.214921287,-0.065,NA
DryHeath,21,Mar,1987,21/03/1987,2.214921287,-0.064,NA
RichAgrostisFestuca,21,Mar,1987,21/03/1987,2.214921287,-0.062,NA
Sphagnum,21,Mar,1987,21/03/1987,2.214921287,-0.055,NA
Molinia,21,Mar,1987,21/03/1987,2.214921287,-0.048,NA
Plantago,21,Mar,1987,21/03/1987,2.214921287,-0.037,NA
Cliff,21,Mar,1987,21/03/1987,2.214921287,-0.025,NA
Rumex,21,Mar,1987,21/03/1987,2.214921287,-0.024,NA
HolcusPoa,21,Mar,1987,21/03/1987,2.214921287,-0.021,NA
PoorAgrostisFestuca,21,Mar,1987,21/03/1987,2.214921287,-0.018,NA
Holcus,21,Mar,1987,21/03/1987,2.214921287,-0.015,NA
FestucaRubra,21,Mar,1987,21/03/1987,2.214921287,-0.015,NA
NardusRacomitrium,21,Mar,1987,21/03/1987,2.214921287,-0.005,NA
Lair,21,Mar,1987,21/03/1987,2.214921287,-0.005,NA
NardusJuncus,21,Mar,1987,21/03/1987,2.214921287,NA,NA
Luzula,21,Mar,1987,21/03/1987,2.214921287,NA,NA
Rumex,24,May,1987,24/05/1987,2.390143737,0.387,0.387
NardusRacomitrium,24,May,1987,24/05/1987,2.390143737,0.45,0.45
Molinia,24,May,1987,24/05/1987,2.390143737,0.453,0.453
RichAgrostisFestuca,24,May,1987,24/05/1987,2.390143737,0.47,0.47
Eriophorum,24,May,1987,24/05/1987,2.390143737,0.485,0.485
Holcus,24,May,1987,24/05/1987,2.390143737,0.491,0.491
AgFesMol,24,May,1987,24/05/1987,2.390143737,0.493,0.493
Luzula,24,May,1987,24/05/1987,2.390143737,0.499,0.499
Cliff,24,May,1987,24/05/1987,2.390143737,0.52,0.52
Sphagnum,24,May,1987,24/05/1987,2.390143737,0.524,0.524
PoorAgrostisFestuca,24,May,1987,24/05/1987,2.390143737,0.542,0.542
DryHeath,24,May,1987,24/05/1987,2.390143737,0.545,0.545
Plantago,24,May,1987,24/05/1987,2.390143737,0.547,0.547
HolcusPoa,24,May,1987,24/05/1987,2.390143737,0.558,0.558
HolcusAgrostisSphagnum,24,May,1987,24/05/1987,2.390143737,0.575,0.575
FestucaRubra,24,May,1987,24/05/1987,2.390143737,0.597,0.597
Lair,24,May,1987,24/05/1987,2.390143737,0.643,0.643
HolcusAgrostis,24,May,1987,24/05/1987,2.390143737,0.658,0.658
WetHeath,24,May,1987,24/05/1987,2.390143737,NA,NA
